AUDREY  LAMY
AUDREY TAUTOU			
AUGUST  DIEHL
AUNJANUE  ELIIS
AURE ATTICA
AURELIEN  RECOING
AURELIEN  WIIK
AURORE CLEMENT
AUSTIN WAI TIN CHI
AVA  GARDNER
AYA UETO
				

BAI  LING
BAISHO  MITSUKO
BALDWIN  adam
BALDWIN  A  MICHAEL
BALDWIN alec
BALDWIN daniel
BALDWIN WILLIAM
BANDERAS
BANKS  JOHNATAN
BARBARA  HERSHEY
BARBARA  SARAFIAN
BARBARA  STANWICK
BARRY  ATSMA 
BARRY  CORBIN
BARRY  JONES
BARRY  SHABAKA HENLEY
BASIL  RATHBONE
BEART  emmanuelle
BEATRICE  DALLE
BEAU  BRIDGES
BEHR  JASON
BELA  LUGOSI
BELL JAMIE	
BELMONDO
BELUSHI   JAMES
BEN AFFLECK
BEN CHAPLIN
BEN  CROSS
BEN  GAZZARA
BEN JOHNSON						
BEN KINGSLEY				
BEN STILLER
BEN WILKINSON
BENICIO EL TORO
BENITO MARTINEZ
BENJAMIN  SADLER
BENNO  FURMANN 
BENOIT  MAGIMEL		
BENOIT POELVOORDE	
BENZ  JULIE
BERENICE  BEJOT
BERNADETTE  HEERWAGEN
BERNADETTE  LAFOND
BERNARD BLANCAN 
BERNARD  BLIER
BERNARD  CAMPAN
BERNARD  DHERAN  
BERNARD  FRESSON
BERNARD  LECOQ
BERNARD  MENEZ
BERNARD  MUSSON	
ERNARD PIERRE DONADIEU  (DONADIEU  BERNARD PIERRE)
BERRY  RICHARD
BETSY PALMER
BETTE DAVIES
BIBIANA  BEGLAU
BIEL  JESSICA
BILL  HADER
BILL  LAKE
BILL MOSELEY
BILL MURRAY
BILL OBERST (OBERST   BILL)
BILL  PAXTON
BILL PULLMAN				
BILLY BOB THORNTON
BILLY BURKE
BILLY  CONELLY
BILLY  CRYSTAL
BILLY DRAGO
BILLY ZANE
BIN  WO
BING  CROSBY
BINOCHE JULIETTE
BIYOUNA
BLAKE  ANDERSON
BLANCA   LEWIN
BO  HOPKINS			
BO  LIN  CHEN
BOB  HOSKINS
BOBBY  HOSEA
BOGDAN DIKLIC 
BOGDAN  STUPKA
BOHRINGER RICHARD
